id,sequence,segment_id,segment_name,point_name,province,city_or_area,latitude,longitude,coordinate_precision,source_level,replication_feasibility,difficulty,best_season,transport_hint,risk_note,source_note,url
OEDW-P001,1,S01,滇西重启线,云南西部 / 缅中边境附近,Yunnan,Dehong,25.0200,98.4900,approximate,A_official_oedw,low,hard,Oct-Apr,边境管控禁止普通徒步,"边境地区无精确坐标，使用德宏州近似点","Milestone 74 (2021-10)",
OEDW-P002,2,S01,滇西重启线,腾冲,Yunnan,Tengchong,25.0204,98.4930,city,A_official_oedw,high,easy,Oct-Apr,腾冲驼峰机场 / 高铁保山,"市区安全，可直接复刻","Milestone 74-75 / Dispatch Crossroad of Memory",
OEDW-P003,3,S01,滇西重启线,和顺古镇,Yunnan,Tengchong,24.9780,98.4880,landmark,C_chinese_media,high,easy,Year-round,腾冲市区打车 15 分钟,"古镇商业化程度高，无特殊风险","Dispatch Crossroad of Memory",
OEDW-P004,4,S01,滇西重启线,高黎贡山,Yunnan,Tengchong,24.8350,98.7650,region,A_official_oedw,medium,hard,Nov-Apr,需请当地向导,生物多样性保护区·深山不可独自徒步,"Milestone 75 (2021-12) / Dispatch Green Ark",
OEDW-P005,5,S01,滇西重启线,大理古城,Yunnan,Dali,25.6940,100.1660,city,A_official_oedw,high,easy,Year-round,大理凤仪机场 / 大理高铁站,"古城内步行安全","Milestone 76 (2022-03)",
OEDW-P006,6,S02,大理丽江雪山线,喜洲,Yunnan,Dali,25.7780,100.1360,landmark,C_chinese_media,high,easy,Year-round,大理古城打车 30 分钟,白族民居密集区域,"Dispatch Astral Village",
OEDW-P007,7,S02,大理丽江雪山线,洱源,Yunnan,Eryuan,26.1100,99.9530,city,C_chinese_media,medium,easy,Year-round,大理自驾 1.5 小时,高原湖泊地区,"Milestone 76",
OEDW-P008,8,S02,大理丽江雪山线,丽江古城,Yunnan,Lijiang,26.8721,100.2330,city,A_official_oedw,high,easy,Year-round,丽江三义机场 / 丽江高铁站,"古城海拔 2400m 注意休息","Milestone 76 / NatGeo Education",
OEDW-P009,9,S02,大理丽江雪山线,玉龙雪山,Yunnan,Lijiang,27.0900,100.1800,landmark,A_official_oedw,medium,medium,Nov-May,丽江古城包车 1 小时,"高海拔 4506m·需防高反","Milestone 76",
OEDW-P010,10,S03,茶马古道木里线,泸沽湖周边,Yunnan-Sichuan border,Ninglang,27.7030,100.7680,landmark,B_partner_or_education,medium,medium,Apr-Oct,丽江包车 4 小时,"少数民族区域尊重当地习俗","Milestone 77 (2022-03)",
OEDW-P011,11,S03,茶马古道木里线,木里,Sichuan,Muli,27.9260,101.2790,city,B_partner_or_education,medium,hard,May-Oct,西昌转越野车 6 小时,"路况复杂需四驱越野","Dispatch Looking for Muli",
OEDW-P012,12,S03,茶马古道木里线,康定,Sichuan,Kangding,30.0440,101.9640,city,A_official_oedw,high,medium,May-Oct,成都自驾 4 小时 / 康定机场,"海拔 2560m 注意高反","Milestone 78 (2022-07)",
OEDW-P013,13,S04,川西南雅安线,天全,Sichuan,Tianquan,30.0610,102.7590,city,C_chinese_media,medium,medium,Apr-Oct,雅安转汽车,山区道路,"Dispatch 250 Pounds of Grief",
OEDW-P014,14,S04,川西南雅安线,雅安,Sichuan,Ya'an,29.9800,103.0010,city,A_official_oedw,high,easy,Year-round,成都西站高铁 1.5 小时,"茶马古道重要节点","Milestone 80 (2023-02)",
