id,sequence,segment_id,segment_name,point_name,province,city_or_area,latitude,longitude,coordinate_precision,source_level,replication_feasibility,difficulty,best_season,transport_hint,risk_note,source_note,url
SXA-P001,1,S01,大同古都与云冈线,大同,Shanxi,Datong,40.0900,113.2950,city,D_reconstructed_for_travel,high,easy,May-Oct,大同云冈机场 / 大同南站,文保开放时间需核查;非实时导航,山西古建路线 S01 起点 · 北魏都城遗韵,https://conanxin.github.io/culture-roadtrip-atlas/trips/shanxi-ancient-architecture-roadtrip/
SXA-P002,2,S01,大同古都与云冈线,云冈石窟,Shanxi,Datong,40.1100,113.1400,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,大同市区西 16 公里 / G55 二广高速,石窟拥挤时段需预约;非实时导航,云冈石窟 2001 列入世界文化遗产 · 国保 第一批,http://www.yungang.org/
SXA-P003,3,S01,大同古都与云冈线,大同华严寺,Shanxi,Datong,40.0830,113.2930,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,大同古城内 / 步行可达,古城内景区需核查开放;非实时导航,华严寺 辽金木构 1961 国保 第一批,https://baike.baidu.com/item/%E5%A4%A7%E5%90%8C%E5%8D%8E%E4%B8%A5%E5%AF%BA
SXA-P004,4,S01,大同古都与云冈线,大同善化寺,Shanxi,Datong,40.0950,113.2920,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,大同古城南部 / 步行可达,古城内景区需核查开放;非实时导航,善化寺 辽金木构 1961 国保 第一批,https://baike.baidu.com/item/%E5%96%84%E5%8C%96%E5%AF%BA
SXA-P005,5,S02,浑源恒山应县木构线,浑源古城,Shanxi,Hunyuan,39.6900,113.6900,city,D_reconstructed_for_travel,medium,medium,May-Oct,大涞高速 / S303,县城住宿;非实时导航,浑源 北岳恒山所在县,https://baike.baidu.com/item/%E6%B5%91%E6%BA%90%E5%8E%BF
SXA-P006,6,S02,浑源恒山应县木构线,悬空寺,Shanxi,Hunyuan,39.6580,113.7050,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,浑源东南 5 公里 / S303,景区拥挤;非实时导航,悬空寺 北魏 1982 国保 第二批,https://baike.baidu.com/item/%E6%82%AC%E7%A9%BA%E5%AF%BA
SXA-P007,7,S02,浑源恒山应县木构线,北岳恒山,Shanxi,Hunyuan,39.6750,113.7250,region,D_reconstructed_for_travel,medium,extreme,May-Oct,浑源县城东南 / 索道可达,山路天气需核查;非实时导航,恒山 五岳北岳 国家级,https://baike.baidu.com/item/%E6%81%92%E5%B1%B1
SXA-P008,8,S02,浑源恒山应县木构线,应县木塔,Shanxi,Yingxian,39.5580,113.1900,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,应县县城 / G208 国道,木塔近年限流;非实时导航,佛宫寺释迦塔 辽代 1961 国保 第一批 · 全世界最高木塔,https://baike.baidu.com/item/%E5%BA%94%E5%8E%BF%E6%9C%A8%E5%A1%94
SXA-P009,9,S03,五台山早期木构线,五台山台怀镇,Shanxi,Wutaishan,38.9750,113.5800,region,D_reconstructed_for_travel,medium,medium,May-Oct,五台山机场 / G5 京昆高速 / 砂河至台怀,高山气候多变;非实时导航,五台山 文殊道场 2009 列入世界文化遗产,https://baike.baidu.com/item/%E4%BA%94%E5%8F%B0%E5%B1%B1
SXA-P010,10,S03,五台山早期木构线,佛光寺,Shanxi,Wutaishan,38.9450,113.6100,landmark,D_reconstructed_for_travel,medium,medium,May-Oct,五台山东北 / 豆村,偏远文保需预约;非实时导航,佛光寺 东大殿 857 年 唐 1961 国保 第一批 · 梁思成 1937 发现,https://baike.baidu.com/item/%E4%BD%9B%E5%85%89%E5%AF%BA
SXA-P011,11,S03,五台山早期木构线,南禅寺,Shanxi,Wutaishan,38.9370,113.4000,landmark,D_reconstructed_for_travel,medium,medium,May-Oct,五台山西南 / 冶河畔李家庄,偏远文保需预约;非实时导航,南禅寺大殿 782 年 唐 1961 国保 第一批 · 中国现存最早木构,https://baike.baidu.com/item/%E5%8D%97%E7%A6%85%E5%AF%BA
SXA-P012,12,S04,太原晋祠府城线,太原,Shanxi,Taiyuan,37.8700,112.5500,city,D_reconstructed_for_travel,high,easy,All year,太原武宿机场 / 太原南站,"城市驻点,无特殊风险;非实时导航",太原 山西省会,https://baike.baidu.com/item/%E5%A4%AA%E5%8E%9F
SXA-P013,13,S04,太原晋祠府城线,晋祠,Shanxi,Taiyuan,37.7050,112.4500,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,太原西南 25 公里 / G5 京昆高速,景区拥挤;非实时导航,晋祠 1961 国保 第一批 · 宋金元明清延续,https://baike.baidu.com/item/%E6%99%8B%E7%A5%A0
SXA-P014,14,S04,太原晋祠府城线,山西博物院,Shanxi,Taiyuan,37.8680,112.5600,landmark,D_reconstructed_for_travel,high,easy,All year,太原市区 / 步行或公交,需提前预约;非实时导航,山西博物院 馆藏晋国文物 / 佛光寺东大殿模型 / 侯马盟书,https://www.shanximuseum.com/
SXA-P015,15,S05,平遥双林镇国线,平遥古城,Shanxi,Pingyao,37.1900,112.1700,city,D_reconstructed_for_travel,high,easy,All year,平遥古城站 / G5 京昆高速,"古城内住宿,需提前预订;非实时导航",平遥古城 1997 列入世界文化遗产,https://baike.baidu.com/item/%E5%B9%B3%E9%81%A5%E5%8F%A4%E5%9F%8E
SXA-P016,16,S05,平遥双林镇国线,双林寺,Shanxi,Pingyao,37.1800,112.1200,landmark,D_reconstructed_for_travel,high,easy,All year,平遥古城西南 6 公里,彩塑国宝;非实时导航,双林寺 彩塑 1988 国保 第三批,https://baike.baidu.com/item/%E5%8F%8C%E6%9E%97%E5%AF%BA
SXA-P017,17,S05,平遥双林镇国线,镇国寺,Shanxi,Pingyao,37.2200,112.1500,landmark,D_reconstructed_for_travel,high,easy,All year,平遥古城东北 12 公里 / 郝洞村,五代木构;非实时导航,镇国寺 万佛殿 963 年五代 1988 国保 第三批,https://baike.baidu.com/item/%E9%95%87%E5%9B%BD%E5%AF%BA
SXA-P018,18,S06,介休灵石霍州线,介休后土庙,Shanxi,Jiexiu,37.0250,111.9180,landmark,D_reconstructed_for_travel,medium,easy,All year,介休市区 / G5 京昆高速,市区可达;非实时导航,后土庙 明清道教庙宇 2001 国保 第五批 · 琉璃艺术,https://baike.baidu.com/item/%E5%90%8E%E5%9C%9F%E5%BA%99
SXA-P019,19,S06,介休灵石霍州线,张壁古堡,Shanxi,Jiexiu,37.0000,111.9700,landmark,D_reconstructed_for_travel,medium,easy,Apr-Oct,介休东南 10 公里 / 绵山脚下,需提前确认开放;非实时导航,张壁古堡 隋唐至明清古堡 2001 国保 第五批,https://baike.baidu.com/item/%E5%BC%A0%E5%A3%81%E5%8F%A4%E5%A0%A1
SXA-P020,20,S06,介休灵石霍州线,霍州署,Shanxi,Huozhou,36.5700,111.7200,landmark,D_reconstructed_for_travel,medium,easy,All year,霍州市区 / G108 国道,市区可达;非实时导航,霍州署 元代至明清州署 1996 国保 第四批,https://baike.baidu.com/item/%E9%9C%8D%E5%B7%9E%E7%BD%B2
SXA-P021,21,S07,临汾洪洞隰县线,洪洞广胜寺,Shanxi,Hongdong,36.2600,111.6650,landmark,D_reconstructed_for_travel,medium,medium,Apr-Oct,洪洞东北 17 公里 / 霍山南麓,山路天气需核查;非实时导航,广胜寺 上下寺 + 飞虹塔 1961 国保 第一批,https://baike.baidu.com/item/%E5%B9%BF%E8%83%9C%E5%AF%BA
SXA-P022,22,S07,临汾洪洞隰县线,洪洞飞虹塔,Shanxi,Hongdong,36.2600,111.6650,landmark,D_reconstructed_for_travel,medium,medium,Apr-Oct,广胜寺上寺内,与广胜寺同址;非实时导航,飞虹塔 琉璃塔 1961 国保 第一批,https://baike.baidu.com/item/%E9%A3%9E%E8%99%B9%E5%A1%94
SXA-P023,23,S07,临汾洪洞隰县线,隰县小西天,Shanxi,Xi County,36.6900,110.9400,landmark,D_reconstructed_for_travel,medium,medium,May-Oct,隰县城北 1 公里 / S224,"山区县城,需核查开放;非实时导航",小西天 千佛庵 明代悬塑 1988 国保 第三批,https://baike.baidu.com/item/%E5%B0%8F%E8%A5%BF%E5%A4%A9
SXA-P024,24,S08,运城永乐解州线,运城,Shanxi,Yuncheng,35.0250,110.9800,city,D_reconstructed_for_travel,high,easy,All year,运城张孝机场 / 运城北站,城市驻点;非实时导航,运城 关公故里 盐运之城,https://baike.baidu.com/item/%E8%BF%90%E5%9F%8E
SXA-P025,25,S08,运城永乐解州线,芮城永乐宫,Shanxi,Ruicheng,34.7000,110.6850,landmark,D_reconstructed_for_travel,high,easy,Apr-Oct,芮城北 3 公里 / 县城可达,壁画国宝;非实时导航,永乐宫 元代道教宫观 1961 国保 第一批 · 三清殿壁画,https://baike.baidu.com/item/%E6%B0%B8%E4%B9%90%E5%AE%AB
SXA-P026,26,S08,运城永乐解州线,解州关帝庙,Shanxi,Yuncheng,34.9100,110.8700,landmark,D_reconstructed_for_travel,high,easy,All year,运城西南 20 公里 / 解州镇,关帝祖庙;非实时导航,解州关帝庙 1988 国保 第三批,https://baike.baidu.com/item/%E8%A7%A3%E5%B7%9E%E5%85%B3%E5%B8%9D%E5%BA%99
SXA-P027,27,S09,晋东南长治晋城线,长治,Shanxi,Changzhi,36.1950,113.1050,city,D_reconstructed_for_travel,high,easy,All year,长治王村机场 / 长治东站,城市驻点;非实时导航,长治 古上党地区,https://baike.baidu.com/item/%E9%95%BF%E6%B2%BB
